ZN-E,PH-E,SS-E,SSV-E ,SED-E,COND-E,PH-P,PH-D,PH-S,SS-S,SSV-S,SED-S,COND-S,SAFE
0.60,7.5,120,56.7,1.5,1200,7.5,7.6,7.5,10,68.0,0.00,1353,1
0.70,7.2,186,65.6,?,1398,7.4,7.5,7.5,31,83.9,?,1543,1
1.80,7.5,180,40.0,1.4,810,7.5,7.5,7.5,14,92.9,0.02,949,1
1.60,6.9,242,65.3,5.0,1183,7.3,7.3,7.5,78,74.4,0.02,1374,1
1.50,8.1,140,67.1,3.0,1319,8.0,7.6,7.5,22,86.4,0.01,1289,1
5.70,7.7,290,51.0,4.0,2150,7.7,7.6,7.5,46,75.7,0.01,2060,1
0.20,7.8,138,73.9,3.8,1870,7.8,7.8,7.5,14,88.6,0.01,1809,1
5.90,7.6,174,67.8,?,1102,7.6,7.5,7.5,16,87.5,?,1213,1
0.50,7.3,124,67.7,2.0,1210,7.4,7.4,7.5,29,82.9,0.02,1259,1
0.20,7.3,166,73.5,3.0,1072,7.4,7.4,7.5,11,100,0.02,999,1
5.00,7.6,186,69.9,3.4,1666,7.7,7.7,7.6,21,81,0.05,1888,1
3.50,7.9,192,65.6,4.5,2430,7.8,7.8,7.6,20,96.7,0.00,1840,1
1.50,8.0,176,64.8,4.0,2110,7.9,7.8,7.6,22,65.9,0.02,2120,1
2.00,7.8,200,69.0,5.0,1865,7.8,7.8,7.6,27,87.0,0.02,1616,1
0.70,7.9,230,67.0,5.5,1410,8.1,7.7,7.6,131,79.6,3.50,1575,1
?,8.1,174,67.8,3.0,2390,7.8,7.8,7.6,98,87.8,0.00,2550,1
1.5,7.8,214,58.9,5.5,1605,7.7,7.7,7.6,20,85.0,0.00,1110,1
1.20,7.7,200,74.0,4.0,1856,7.6,7.5,7.6,23,78.3,0.01,1706,1
3.00,7.8,308,49.4,6.0,1927,7.7,7.7,7.6,23,69.7,0.00,1869,1
3.50,7.9,184,67.4,4.0,1224,8.1,7.7,7.6,32,81.3,0.00,1420,1
1.00,7.7,366,55.7,6.5,2400,7.8,7.8,7.6,88,76.1,0.25,2390,1
1.20,8.0,228,75.4,7.0,1532,8.0,7.8,7.6,25,90.6,0.00,1445,1
2.00,7.8,174,67.8,4.0,1315,7.8,7.7,7.6,24,91.7,0.02,1509,1
1.2,8.2,186,72.0,0.4,1310,8.0,7.9,7.6,33,78.7,0.02,1340,1
1.20,7.6,196,68.4,4.5,1421,7.7,7.7,7.6,23,84.1,0.02,1354,1
1.00,8.1,164,75.6,3.5,1548,8.1,7.9,7.6,37,95.5,0.02,1409,1
3.00,7.8,194,68.5,5.0,2020,7.8,7.7,7.6,15,93.3,0.00,2400,1
1.40,7.9,170,76.5,4.0,1365,7.9,7.9,7.6,18,80.6,0.00,1481,1
5.00,8.0,166,73.5,3.5,1700,8.1,7.9,7.6,29,86.2,0.00,1764,1
1.75,7.8,168,71.4,2.3,1477,7.8,7.8,7.6,?,?,?,1445,1
1.00,7.6,256,65.6,5.5,1510,7.6,7.7,7.6,25,76.8,0.05,1461,1
1.20,7.8,232,53.4,5.0,1310,7.8,7.7,7.6,19,65.3,0.00,1404,1
3.00,7.7,456,22.8,4.0,1007,7.6,7.6,7.6,16,68.8,0.00,1194,1
3.00,7.7,328,60.4,7.0,1392,7.7,7.8,7.6,44,74.2,0.30,1213,1
1.40,7.8,172,67.4,4.0,1160,7.7,7.7,7.6,42,81.0,0.05,1304,1
1.20,7.9,192,62.5,7.0,1434,7.9,7.7,7.6,34,76.5,0.00,1469,1
1.20,7.8,248,56.5,6.5,1213,7.8,7.8,7.6,20,75.0,0.00,1395,1
1.00,7.6,316,30.4,3.0,1079,7.7,7.6,7.6,39,59.0,0.00,1176,1
1.20,7.8,176,45.5,1.5,1140,8.0,7.9,7.6,16,68.8,0.00,1014,1
2.00,7.9,178,71.9,3.5,1038,7.8,7.7,7.6,19,89.5,0.02,1148,1
3.00,7.8,350,41.7,5.0,1265,7.8,7.8,7.6,18,66.7,0.02,1309,1
1.20,7.5,116,68.9,2.0,1119,7.7,7.7,7.6,22,83.6,0.03,1149,1
1.20,8.1,174,66.7,7.0,1205,7.9,7.8,7.6,24,76.7,0.05,1244,1
1.50,7.9,206,56.3,4.0,1300,7.9,7.9,7.6,20,76.0,0.02,1202,1
1.00,7.9,324,48.1,6.5,1319,7.9,7.9,7.6,67,73.6,0.50,1398,1
4.50,7.5,256,46.9,4.2,2070,7.4,7.5,7.6,27,74.1,0.00,2700,1
5.00,7.8,220,53.6,4.5,1790,7.8,7.8,7.6,20,70.0,0.00,1660,1
1.50,7.4,232,64.7,4.5,1858,7.6,7.6,7.6,38,76.8,0.02,1511,1
0.40,7.5,260,46.2,4.3,2140,7.5,7.5,7.6,20,78.0,0.00,1950,1
1.70,7.5,360,?,4.0,806,7.5,7.5,7.6,11,?,0.02,905,1
1.60,7.7,222,58.6,3.0,1828,7.6,7.6,7.6,13,?,0.00,1868,1
4.00,7.5,370,56.8,6.0,1396,7.6,7.6,7.6,11,70.9,0.00,1311,1
0.40,7.6,210,52.4,4.0,2340,7.5,7.4,7.6,34,71.8,0.00,2080,1
0.27,7.4,172,65.1,4.5,1207,7.4,7.4,7.6,15,72.0,0.01,1162,1
0.83,8.2,356,72.5,10,2170,8.0,7.9,7.6,12,71.7,0.01,2330,1
2.87,8.1,216,73.2,?,1755,8.0,7.9,7.6,18,84.4,?,1750,1
0.90,7.6,146,68.5,?,1299,7.8,7.9,7.6,32,78.8,?,1430,1
8.10,8.0,230,47.8,?,1599,7.9,7.9,7.6,20,70.0,?,1554,1
0.13,8.2,286,79.0,?,2950,7.9,7.7,7.6,31,87.7,?,2790,1
1.24,8.0,168,70.2,4.3,1410,8.0,7.9,7.6,22,86.4,0.00,1203,1
3.40,7.9,264,75.0,?,2150,7.8,7.7,7.6,22,86.4,?,2210,1
1.70,7.7,122,49.2,2.5,990,7.7,7.6,7.6,18,83.3,0.00,1109,1
2.00,7.7,172,62.8,?,928,7.6,7.7,7.6,16,87.5,?,940,1
0.62,8.1,196,60.2,4.5,1105,8.3,7.8,7.6,27,85.2,0.01,1312,1
1.32,8.0,178,62.9,4.0,1180,8.0,7.9,7.6,19,89.5,0.01,1406,1
12.5,7.5,196,72.5,?,1245,7.6,7.7,7.6,14,91.4,?,1207,1
1.30,7.5,114,73.7,2.5,1103,7.6,7.6,7.6,10,96.0,0.00,1131,1
1.70,7.9,160,56.3,2.0,1543,7.9,7.8,7.6,14,85.7,0.00,1565,1
0.94,7.9,136,67.6,3.0,1235,7.7,7.7,7.6,11,90.9,0.02,1279,1
0.12,7.7,2008,17.9,?,1257,7.6,7.5,7.6,13,76.9,?,1289,1
0.50,7.6,174,62.1,5.0,1035,7.7,7.7,7.6,12,82.3,0.02,1140,1
0.75,7.6,1228,22.8,36,1889,7.6,7.7,7.6,17,82.4,0.02,1932,1
0.99,7.8,964,23.7,18,2120,7.8,7.8,7.6,20,75.0,0.03,1966,1
2.20,7.5,278,78.4,4.3,1439,7.6,7.6,7.6,13,96.2,0.00,1423,1
2.70,7.6,204,71.6,5.5,1187,7.7,7.6,7.6,57,88.2,0.05,1312,1
0.70,7.5,242,55.4,5.3,958,7.7,7.7,7.6,10,90.0,0.00,1082,1
9.00,7.7,322,50.3,5.5,1196,7.7,7.8,7.6,24,79.2,0.02,1250,1
6.60,7.8,198,71.7,3.5,1535,7.7,7.7,7.6,14,76.8,0.01,1605,1
6.30,7.7,244,57.4,4.0,1413,7.8,7.7,7.6,32,82.5,0.01,1410,1
5.70,7.7,254,59.8,6.0,1202,7.7,7.7,7.6,18,100,0.00,1205,1
1.00,7.6,222,65.8,5.5,1518,7.6,7.6,7.6,74,83.8,0.25,1642,1
0.90,7.3,216,62.0,3.0,1367,7.4,7.5,7.6,39,71.8,0.01,1444,1
4.00,7.5,208,75.0,5.0,1672,7.5,7.5,7.6,21,70.5,0.01,1603,1
1.80,7.6,224,64.3,4.0,2150,7.7,7.6,7.6,33,82.4,0.01,2240,1
2.40,7.6,200,49.0,2.8,2110,7.6,7.6,7.6,28,85.7,0.02,1959,1
0.55,7.4,170,69.4,3.0,1450,7.4,7.4,7.6,26,78.5,0.01,1693,1
1.75,7.7,178,62.9,3.0,1459,7.7,7.7,7.6,11,81.8,0.02,1607,1
0.92,7.7,168,64.3,4.3,1019,7.7,7.7,7.6,15,80.0,0.00,1056,1
1.75,7.2,138,63.8,?,1769,7.4,7.5,7.6,9,88.9,?,2030,1
1.25,7.5,218,61.5,4.5,1535,7.6,7.7,7.6,14,71.4,0.02,1679,1
0.36,7.6,232,53.4,5.0,1565,7.7,7.8,7.6,22,81.8,0.03,1610,1
3.90,7.8,200,66.0,5.0,1592,7.8,7.7,7.6,14,85.7,0.01,1483,1
3.30,7.3,208,56.7,3.5,1134,7.5,7.6,7.6,12,83.3,0.01,1226,1
3.20,7.6,190,57.9,5.5,1305,7.7,7.8,7.6,26,73.1,0.01,1190,1
3.00,7.6,266,38.4,2.5,1418,7.7,7.7,7.6,18,68.9,0.02,1498,1
7.30,7.6,178,64.0,3.5,1627,7.7,7.6,7.6,23,80.0,0.05,1799,1
0.55,7.5,172,37.2,1.4,732,7.5,7.5,7.6,16,85.0,0.02,728,1
0.23,7.6,98,71.4,2.0,866,7.6,7.6,7.6,17,87.1,0.02,879,1
1.00,8.1,192,70.8,4.0,1454,8.1,7.9,7.7,37,83.8,0.00,1275,1
1.50,8.1,190,68.4,5.2,1392,8.0,8.1,7.7,26,82.1,0.00,1574,1
1.20,7.8,216,51.9,3.5,1415,7.8,7.7,7.7,26,80.8,0.05,1390,1
1.00,7.6,248,80.6,5.5,2310,7.7,7.7,7.7,23,73.0,0.02,1813,1
1.0,7.5,214,63.6,5.5,1308,7.6,7.7,7.7,11,87.3,0.02,1345,1
6.00,7.6,236,62.7,4.9,1400,7.7,7.6,7.7,17,70.6,0.05,1480,1
8.00,7.7,268,53.7,5.8,1212,7.9,7.7,7.7,12,83.3,0.00,1320,1
1.20,7.5,184,64.1,2.8,1127,7.5,7.5,7.7,17,76.5,0.00,1317,1
1.20,7.9,224,66.1,6.5,1409,7.9,7.9,7.7,49,80.3,0.10,1334,1
0.80,7.7,164,61.0,5.5,1177,7.7,7.9,7.7,32,77.1,0.02,1390,1
1.20,7.9,162,59.3,3.0,937,7.9,7.8,7.7,25,88.0,0.00,1060,1
0.60,8.0,248,61.3,6.3,1179,8.0,7.8,7.7,22,84.1,0.00,1107,1
0.70,7.8,202,57.4,4.5,1525,8.0,7.8,7.7,19,86.8,0.00,1309,1
0.80,7.7,210,65.7,5.0,1535,7.6,7.8,7.7,13,50.0,0.00,1516,1
1.50,7.8,192,63.5,3.5,1056,7.7,7.7,7.7,18,83.3,0.00,1165,1
1.00,7.9,180,55.6,3.0,1376,7.9,7.9,7.7,24,75.0,0.00,1399,1
0.70,7.6,172,46.5,2.5,940,7.7,7.7,7.7,21,87.6,0.00,1107,1
5.00,7.8,236,38.1,4.0,1179,8.0,8.0,7.7,16,78.1,0.02,899,1
1.50,8.1,330,37.0,6.0,1234,8.0,7.9,7.7,13,69.2,0.02,1229,1
2.00,7.9,156,64.1,3.1,1340,7.9,7.9,7.7,14,92.9,0.00,1423,1
1.50,7.9,122,77.0,3.5,1026,7.9,7.8,7.7,11,100,0.00,1039,1
2.50,7.8,202,58.4,2.0,1327,7.7,7.8,7.7,16,87.5,0.00,1454,1
0.70,7.8,150,69.3,3.0,1304,7.8,7.7,7.7,41,79.3,0.02,1341,1
0.60,7.7,124,61.3,2.6,1087,7.8,7.8,7.7,28,64.3,0.10,1008,1
1.00,7.8,184,50.0,3.3,1278,7.8,7.8,7.7,48,74.2,0.05,1310,1
3.00,7.8,236,71.2,4.0,1397,7.9,7.8,7.7,84,81.6,0.20,1480,1
1.50,7.5,506,35.6,6.3,2590,7.4,7.6,7.7,33,75.0,0.08,2850,1
1.70,7.6,226,53.1,4.0,1390,7.6,7.6,7.7,15,69.3,0.02,1358,1
6.50,7.6,176,50.0,3.0,859,7.6,7.6,7.7,18,68.9,0.02,1020,1
5.00,7.6,164,57.3,3.2,1095,7.6,7.6,7.7,14,82.9,0.00,1095,1
3.60,7.6,564,31.6,7.0,1554,7.6,7.6,7.7,9,80.0,0.00,1267,1
2.71,7.8,194,47.4,3.0,1831,7.8,7.8,7.7,9,75.6,0.00,1813,1
2.42,7.7,186,39.8,2.5,1288,7.7,7.7,7.7,15,56.0,0.02,1317,1
0.90,7.7,204,62.7,4.5,1490,7.7,7.7,7.7,11,80.0,0.02,1361,1
0.70,7.5,176,59.1,3.0,1120,7.6,7.6,7.7,15,77.3,0.05,1040,1
1.00,7.5,188,67.0,5.0,1950,7.5,7.6,7.7,15,61.3,0.00,1570,1
0.40,7.6,142,64.8,1.5,1939,7.6,7.6,7.7,21,59.0,0.03,1959,1
0.90,7.5,188,?,2.8,2260,7.6,7.6,7.7,14,?,0.00,2100,1
1.00,8.1,212,79.3,7.0,1990,8.1,8.1,7.7,22,89.1,0.01,2130,1
1.30,8.2,310,55.5,6.0,1059,8.2,8.1,7.7,18,77.8,0.02,1210,1
5.45,8.0,184,79.3,4.0,2110,8.0,8.1,7.7,33,80.8,0.01,2270,1
0.47,8.2,128,71.9,3.0,1520,8.2,8.1,7.7,11,90.9,0.00,1280,1
1.02,7.9,162,75.3,3.8,1344,7.9,7.9,7.7,14,71.4,0.00,1468,1
0.30,8.0,118,73.0,5.0,1727,8.1,8.1,7.7,18,66.7,0.01,1750,1
1.50,8.2,256,40.6,3.0,1456,8.1,8.0,7.7,14,71.4,0.00,1751,1
1.40,8.0,142,73.2,4.5,1440,8.0,7.9,7.7,24,83.3,0.01,1757,1
0.80,8.2,146,65.8,4.0,1758,8.2,8.0,7.7,18,82.2,0.00,1707,1
2.12,8.2,254,73.2,6.5,1685,8.2,8.2,7.7,19,73.7,0.00,1894,1
2.70,8.3,208,71.2,5.5,1979,8.4,8.3,7.7,20,86.0,0.02,1789,1
1.23,8.2,280,72.1,6.5,2390,7.8,8.1,7.7,16,77.5,0.01,2210,1
6.00,7.7,452,45.1,8.0,1313,7.7,7.7,7.7,14,85.7,0.02,1133,1
6.00,7.8,196,69.4,4.5,2190,7.8,7.8,7.7,17,76.5,0.02,2220,1
1.30,8.0,144,66.7,4.5,1221,8.0,7.8,7.7,14,74.3,0.05,1283,1
2.07,7.7,528,43.9,7.0,1105,7.8,7.9,7.7,29,82.8,0.10,1782,1
0.80,7.8,132,75.8,2.5,1568,7.9,7.9,7.7,14,94.3,0.02,1450,1
1.50,7.7,166,66.3,6.0,1667,7.9,7.9,7.7,17,82.4,0.02,1576,1
4.85,7.9,196,68.4,5.0,1711,7.9,7.9,7.7,19,77.8,0.02,1813,1
3.30,7.7,182,73.6,2.5,1698,8.0,8.0,7.7,21,83.8,0.00,1694,1
1.40,7.9,216,40.7,?,1360,7.9,7.8,7.7,18,84.4,?,1514,1
0.70,7.9,148,66.2,2.5,1069,8.0,7.9,7.7,12,83.3,0.00,1244,1
1.60,8.0,242,57.0,6.8,1879,8.1,7.9,7.7,18,88.9,0.03,1605,1
1.60,8.0,242,63.6,5.5,1158,8.0,7.9,7.7,21,76.2,0.00,1285,1
0.98,8.0,160,68.8,4.5,2230,8.2,8.0,7.7,22,83.6,0.00,1754,1
2.60,7.9,166,36.1,1.2,1059,8.0,8.0,7.7,14,85.7,0.00,1046,1
4.20,7.4,228,47.4,3.5,1229,7.7,7.8,7.7,18,77.8,0.00,1382,1
3.03,8.1,166,72.3,4.0,1770,8.1,8.1,7.7,13,84.6,0.00,1722,1
3.20,8.0,166,69.9,4.9,1563,8.0,8.0,7.7,16,87.5,0.02,1736,1
2.65,8.4,200,74.0,?,1542,8.3,8.1,7.7,22,90.9,?,1645,1
8.20,8.1,240,68.3,9.0,1605,8.1,8.1,7.7,28,85.7,0.03,1770,1
2.98,8.2,356,60.7,9.0,1672,8.2,8.1,7.7,20,86.0,0.02,1454,1
4.19,7.7,174,73.6,4.5,1339,7.9,7.9,7.7,19,86.3,0.00,1431,1
5.70,7.8,222,71.2,5.0,1733,7.9,8.0,7.7,24,85.0,0.02,1629,1
2.00,7.9,314,76.4,7.0,2120,7.9,7.9,7.7,23,92.2,0.02,2170,1
3.00,8.4,216,77.8,5.0,1566,8.3,8.2,7.7,12,83.3,0.05,1655,1
1.50,8.2,220,73.6,7.0,1514,8.2,8.0,7.7,17,73.5,0.01,1429,1
0.40,7.8,142,67.6,?,1373,7.7,7.8,7.7,19,85.1,?,1473,1
0.90,7.7,158,65.8,4.0,1133,7.8,7.9,7.7,11,70.9,0.05,1236,1
0.35,8.1,128,70.3,4.0,1496,8.3,8.2,7.7,11,76.4,0.02,1520,1
0.50,8.2,118,79.7,4.0,1697,8.2,8.2,7.7,27,88.3,0.02,1821,1
0.70,8.2,162,75.3,5.3,1620,8.3,8.2,7.7,11,81.8,0.01,1734,1
0.86,7.6,146,69.9,3.5,1146,7.8,7.9,7.7,8,80.0,0.01,1283,1
1.20,8.0,188,73.4,6.0,2200,8.1,8.0,7.7,15,80.0,0.03,2150,1
2.70,8.2,188,76.6,5.3,1329,8.2,8.2,7.7,11,86.4,0.00,1387,1
1.20,7.9,250,71.2,6.5,1379,8.0,8.0,7.7,14,85.7,0.02,1508,1
4.10,7.8,158,55.7,3.0,1436,7.9,7.9,7.7,12,75.0,0.00,1203,1
0.82,7.7,202,66.3,3.0,2350,7.8,7.7,7.7,13,92.3,0.02,1568,1
0.23,7.6,164,57.3,2.5,1000,7.7,7.8,7.7,18,83.3,0.02,906,1
3.25,7.9,456,46.5,8.5,1335,7.9,7.8,7.7,19,82.1,0.02,1493,1
1.74,7.8,248,61.3,5.0,1405,7.7,7.8,7.7,15,86.7,0.01,1390,1
1.50,7.7,238,56.3,4.5,1049,7.7,7.7,7.7,41,80.5,0.03,1126,1
0.76,7.7,272,45.6,5.3,1052,7.8,7.7,7.7,15,100,0.01,1070,1
0.90,7.7,194,60.8,5.9,1725,7.8,7.8,7.7,14,91.4,0.01,1673,1
1.89,7.7,196,64.3,5.5,1219,7.9,7.9,7.7,17,76.5,0.05,1197,1
2.50,7.4,204,68.6,5.0,1328,7.7,7.7,7.7,20,80.0,0.10,1265,1
2.10,7.8,190,61.1,4.5,2070,7.8,7.9,7.7,13,84.6,0.02,1680,1
1.50,7.7,308,62.3,13,1869,7.8,7.9,7.7,27,77.8,0.05,1792,1
0.71,7.7,146,71.2,3.3,1265,7.7,7.7,7.7,44,79.5,0.50,1270,1
0.56,7.8,210,73.3,4.5,1232,7.9,7.9,7.7,22,78.8,0.00,1116,1
0.68,7.8,178,66.3,4.5,1329,7.9,7.9,7.7,23,87.0,0.05,1408,1
0.70,7.7,192,67.7,6.0,1164,7.9,7.9,7.7,15,97.8,0.00,1149,1
4.07,7.9,222,72.1,4.5,1410,7.9,7.9,7.7,16,93.8,0.02,1461,1
6.36,8.1,216,62.0,5.0,1800,8.1,8.0,7.7,12,91.7,0.02,1760,1
9.60,8.1,220,61.8,4.5,1372,8.0,7.9,7.7,18,88.9,0.02,1323,1
1.98,7.9,168,66.7,4.0,1026,7.9,7.8,7.7,16,82.5,0.00,1086,1
6.45,7.5,266,48.1,6.0,1156,7.8,7.9,7.7,13,83.1,0.02,1035,1
6.50,7.7,380,52.6,6.5,1306,7.8,7.9,7.7,19,89.5,0.02,1512,1
1.77,7.6,182,51.6,25,1400,7.7,7.8,7.7,19,84.2,0.05,1316,1
1.73,7.4,242,66.1,4.5,1960,7.6,7.7,7.7,14,78.6,0.01,1788,1
4.20,7.8,208,54.8,3.5,1293,7.8,7.8,7.7,16,93.7,0.01,1318,1
3.70,7.7,154,68.8,3.0,1440,7.8,7.8,7.7,30,86.7,0.01,1479,1
2.60,7.8,288,58.3,4.7,1235,7.8,7.7,7.7,41,82.9,0.02,1399,1
0.80,7.6,170,69.4,4.0,1147,7.7,7.6,7.7,16,87.5,0.00,1170,1
1.40,7.5,148,67.5,2.0,1645,7.5,7.6,7.7,21,85.7,0.00,1760,1
1.60,7.5,168,69.0,2.6,1531,7.5,7.6,7.7,34,79.4,0.02,1648,1
1.00,7.8,216,62.0,5.5,1315,7.8,7.8,7.7,20,75.0,0.05,1142,1
0.58,7.7,242,61.2,4.5,1171,7.8,7.7,7.7,22,81.8,0.05,1333,1
